gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8681807005218,,Büyüvit Imuno Şurup 100 ml,MCG PHARMA,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Bağışıklık Sistemi Güçlendirici Şuruplar,84,2,t,buyuvit-imuno-surup-100-ml
8032472035503,,Theranatur Öksürük Şurubu 128 gr,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme,84,1,t,theranatur-oksuruk-surubu-128-gr
8699680190013,,Wellcare Omega 3 1200mg Balık Yağı 30 Kapsül,,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3,84,3,t,wellcare-omega-3-1200mg-balik-yagi-30-kapsul
8680287030758,,Haliborange Portakal Aromalı Omega-3 Destekli Multivitamin 60 Kapsül,,Besin Takviyeleri > Omega Yağ Asitleri > Bebek & Çoçuklar İçin Omega Yağ Asitleri,83,1,t,haliborange-portakal-aromali-omega-3-destekli-multivitamin-60-kapsul
8690088011726,,Avicenna OmeCap 80 Yumuşak Kapsül,Avicenna,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3,82,2,t,avicenna-omecap-80-yumusak-kapsul
3660398503919,,"Biorga Cystiphane L-Sistin, Çinko, L-Arjinin, Vitamin B6 içeren Takviye Edici Gıda 60 Tablet",,Besin Takviyeleri > Minareller > Çinko Mineralleri,82,2,t,biorga-cystiphane-l-sistin-cinko-l-arjinin-vitamin-b6-iceren-takviye-edici-gida-60-tablet
8680512636021,,Nutraxin Easy Sleep 60 Tablet,,Besin Takviyeleri > Uyku Destek Ürünleri,82,2,t,nutraxin-easy-sleep-60-tablet
8683655089518,,Voonka Max Basem Citrate 30 Saşe,,Besin Takviyeleri > Minareller > Magnezyum Mineralleri > Magnezyum Bisglisinat,82,2,t,voonka-max-basem-citrate-30-sase
8680176000668,,İmuneks Micro-Glucan Plus Beta Glukan 30 Kapsül,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,82,1,t,imuneks-micro-glucan-plus-beta-glukan-30-kapsul
8682792377380,,Sjomann's Fishoil Omega-3 High 30 Çiğnenebilir Jel Tablet,,Besin Takviyeleri > Omega Yağ Asitleri > Omega 3,81,1,t,sjomanns-fishoil-omega-3-high-30-cignenebilir-jel-tablet
8680176000664,,İmuneks Micro-Glucan Plus Beta Glukan 30 Kapsül - 2AL1ÖDE,,Besin Takviyeleri > Bağışıklık Sistemi Güçlendirme > Yetişkinler İçin Bağışıklık Güçlendirme,80,1,t,imuneks-micro-glucan-plus-beta-glukan-30-kapsul-2al1ode
8681291005282,,Centrum Advance 50+ Multivitamin 30 Tablet,Centrum,Besin Takviyeleri > MultiVitaminler,79,1,t,centrum-advance-50-multivitamin-30-tablet
8681072355308,,Patecon Plus 30 Kapsül,Patecon,Besin Takviyeleri > Eklem Sağlığı Ürünleri > Glukozamine Ürünleri,79,2,t,patecon-plus-30-kapsul
8699177825206,,Lamiderm Yara ve Yanık Kremi 60 ml,Lamiderm,Cilt Bakımı > Cilt Bakım Kremleri,77,1,t,lamiderm-yara-ve-yanik-kremi-60-ml
