gtin,varyant_barkod,baslik,marka,kategori,stok,teklif_sayisi,satilabilir,slug
8683989410484,,Envu Habitro Karınca Granülü 80 gr,envu,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,504,2,t,envu-habitro-karinca-granulu-80-gr
8683989410385,,Racumin 100Gr Fare Pastası,envu,Anne Bebek > Bebek Bakım > Haşere Karşıtı Ürünler,504,2,t,racumin-100gr-fare-pastasi
8699546340057,,Bepanjel Yara İyileştirici Jel 50 gr,Bepanjel,Cilt Bakım > Vücut Bakım,503,2,t,bepanjel-yara-iyilestirici-jel-50-gr
8680512634140,,Nutraxin Vitamin C D Zinc 15 Efervesan Tablet - İkili Kofre,Nutraxin,Besin Takviyeleri > Mineral > Çinko,503,2,t,nutraxin-vitamin-c-d-zinc-15-efervesan-tablet-ikili-kofre
8690712012037,,Zade Vital çörek Otu Yağı 60 Kapsül,Zade Vital,Besin Takviyeleri > Takviye Edici Gıdalar > Bitkisel Ürünler,503,2,t,zade-vital-corek-otu-yagi-60-kapsul
8680512627098,,Nutraxin Saw Palmetto Formula 60 Tablet,Nutraxin,Besin Takviyeleri > Mineral > Selenyum,502,2,t,nutraxin-plus-saw-palmetto-formula-60-tablet
3595899728083,,Paranit Bit Sprey 100 ml,Paranit,Saç Bakım > şampuan > Bit şampuanları,502,2,t,paranit-bit-ve-sirke-spreyi-100ml
5391520949319,,Paranit Bit Şampuanı 100 ml,Paranit,Saç Bakım,502,2,t,paranit-bit-sampuani-100ml
33984032293,,Solgar Vitamin B12 1000 mcg 100 Tablet,Solgar,Besin Takviyeleri > Vitamin > B Vitamini,501,2,t,solgar-vitamin-b12-1000-mcg-100-dilalti-tablet
6942284612149,,Artımed Beden Derecesi -DMT 101,Artımed,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Ateş Ölçer,500,1,t,artimed-beden-derecesi-dmt-101
8698846068005,,Artımed Gazlı Bez 30*80 Cm,Artımed,Sağlık Ve Medikal > Ortopedi Ürünleri > Sargı ve Sargı Bezi,500,1,t,artimed-gazli-bez-3080-cm
8680434325522,,Artımed Ovülasyon Testi 5li,Artımed,Kişisel Bakım > Cinsel Sağlık > Gebelik Testi,500,1,t,artimed-ovulasyon-testi-5li
8680434325263,,Artımed Serum Seti,Artımed,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Medikal Sarf Ürünleri,500,1,t,artimed-serum-seti
8699546370580,,Bepanthol Derma Onarıcı Bakım Merhemi 30g,Bepanthol,Cilt Bakım > Cilt ve İhtiyaç Tipi > Kuru Cilt,500,1,t,bepanthol-derma-onarici-bakim-merhemi-30g
8699546370412,,Bepanthol Derma Onarıcı Bakım Merhemi 50 gr,Bepanthol,Cilt Bakım > Cilt ve İhtiyaç Tipi > Kuru Cilt,500,1,t,bepanthol-derma-onarici-bakim-merhemi-50-gr
8699546630004,,"Bepanthol Lipstick 4,5 gr",Bepanthol,Cilt Bakım > Yüz Bakımı > Dudak Bakımı,500,1,t,bepanthol-lipstick-45-gr
4064273120045,,Bepanthol Sensiderm Krem 20 gr,Bepanthol,Cilt Bakım > Akne Ve Sivilce Ürünleri > Akne Ve Yağlı Cilt Serumları,500,1,t,bepanthol-sensiderm-krem-20-gr
4064273150073,,Bepanthol Sensiderm Krem 50 gr,Bepanthol,Cilt Bakım > Akne Ve Sivilce Ürünleri > Akne Ve Yağlı Cilt Serumları,500,1,t,bepanthol-sensiderm-krem-50-gr
8699514600039,,Bruno Serum Fizyolojik 5 ml x 20 Flakon,Bruno,Anne Bebek > Bebek Bakım > Serum Fizyolojik Ürünleri,500,1,t,bruno-serum-fizyolojik-5-ml-x-20-flakon
8697788513574,,Chrysamed Hamam Böceği ve karınca Jeli 5 gr,Chrysamed,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,500,1,t,chrysamed-hamam-bocegi-ve-karinca-jeli-5-gr
8682102201510,,Chrysamed İnsektisit Max Sprey 500 ml,Chrysamed,Sağlık Ve Medikal > Haşere Kovucular İnteksitit Ürünler,500,1,t,chrysamed-insektisit-max-sprey-500-ml
5054563016423,,Corega Bio Diş Protezi Temizleme Tabletleri 30 Tablet,Corega,Kişisel Bakım > Diş tozu,500,1,t,corega-bio-dis-protezi-temizleme-tabletleri-30-tablet
8690605061012,,Dalin Bebek Şampuanı 700 ml,Dalin,Anne Bebek > Bebek Bakım > Bebek şampuanı,500,1,t,dalin-bebek-sampuani-700-ml
8690605073817,,Dalin Kolay Tarama Bebek Şampuanı Badem Özlü 700 ml,Dalin,Anne Bebek > Bebek Bakım > Bebek şampuanı,500,1,t,dalin-kolay-tarama-bebek-sampuani-badem-ozlu-700-ml
8690605073848,,Dalin Saç ve Vücut Şampuanı Rahat ve Mutlu 700 ml,Dalin,Anne Bebek > Bebek Bakım > Bebek şampuanı,500,1,t,dalin-sac-ve-vucut-sampuani-rahat-ve-mutlu-700-ml
8690605062057,,Dalin Vazelin Avokado Yağı 100 ml,Dalin,Sağlık Ve Medikal > Medikal & Sağlık Ürünleri > Vazelin,500,1,t,dalin-vazelin-avokado-yagi-100-ml
850077028649,,Day2Day The Collagen Beauty Intense Çilek Aromalı 30 Saşe,Day2Day,Besin Takviyeleri > Kolajen > Toz Kolajen,500,1,t,day2day-the-collagen-beauty-intense-cilek-aromali-30-sase
8693086100041,,Elite Ear Plug İpli Köpük Kulak Tıkacı,Elite,Kişisel Bakım > Kulak & Burun Tıkacları,500,2,t,elite-ear-plug-ipli-kopuk-kulak-tikaci
8938503458009,,Jellia Klasik Prezervatif 12li,Jellia,Kişisel Bakım,500,1,t,jellia-klasik-prezervatif-12li
